Company,Position,Salary,Work Type,Employees,Location,Posted,URL
Deccan AI Experts,Research Associate (Economics) (Freelancer),Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4401026866/
Infrabyte Consulting,Machine Learning Intern,Not Disclosed,Not Listed,Not Listed,Mumbai,16 hours ago,https://www.linkedin.com/jobs/view/4407130162/
Joveo AI,Graduate Data Engineer,Not Disclosed,Not Listed,Not Listed,Mumbai,22 hours ago,https://www.linkedin.com/jobs/view/4407107480/
VidUnit,Anchor – Business News (YouTube),Not Disclosed,Not Listed,Not Listed,Mumbai,3 days ago,https://www.linkedin.com/jobs/view/4406149251/
JPMorganChase,Centralized Research Group (CRG) - North America - Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,20 hours ago,https://www.linkedin.com/jobs/view/4385806400/
IDFC FIRST Bank,Growth Hacker,Not Disclosed,Not Listed,Not Listed,Mumbai,6 days ago,https://www.linkedin.com/jobs/view/4403613552/
Deloitte,Data Analytics,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4400826213/
Infrabyte Consulting,Artificial Intelligence Intern,Not Disclosed,Not Listed,Not Listed,Mumbai,16 hours ago,https://www.linkedin.com/jobs/view/4407115965/
Joveo AI,Growth Manager (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,1 day ago,https://www.linkedin.com/jobs/view/4406838614/
IDFC FIRST Bank,Researcher,Not Disclosed,Not Listed,Not Listed,Mumbai,6 days ago,https://www.linkedin.com/jobs/view/4403370177/
Pepper,SDE - 2,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4396301428/
Onboard,Generative AI Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,3 hours ago,https://www.linkedin.com/jobs/view/4407155545/
AgileGrid Solutions,Data Engineer,Not Disclosed,Not Listed,Not Listed,Mumbai,5 hours ago,https://www.linkedin.com/jobs/view/4407165149/
EduBridge Learning,AI Developer,Not Disclosed,Not Listed,Not Listed,Mumbai,1 month ago,https://www.linkedin.com/jobs/view/4390132486/
"Apollo Global Management, Inc.",Business Partner,Not Disclosed,Not Listed,Not Listed,Mumbai,18 hours ago,https://www.linkedin.com/jobs/view/4367208837/
BDO India,"Associate, Growth Office",Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4401580787/
Inficore Soft,Artificial Intelligence Intern,Not Disclosed,Not Listed,Not Listed,Mumbai,1 day ago,https://www.linkedin.com/jobs/view/4405914267/
Skillzenloop,Artificial Intelligence Intern,Not Disclosed,Not Listed,Not Listed,Mumbai,14 hours ago,https://www.linkedin.com/jobs/view/4404628838/
Third Bridge Group,"Associate, Global Client Services (US Hours) - 2026 Start",Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4399148298/
MyRemoteTeam Inc,STEM Experts,Not Disclosed,Not Listed,Not Listed,Mumbai,1 hour ago,https://www.linkedin.com/jobs/view/4407174691/
Onboard,AI Automation Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,2 hours ago,https://www.linkedin.com/jobs/view/4407156529/
Branch International,Senior Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4399753436/
YES BANK,Product Manager,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4379571405/
Zydus Group,Business Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,6 days ago,https://www.linkedin.com/jobs/view/4404041510/
Third Bridge Group,Compliance Operations Associate,Not Disclosed,Not Listed,Track and report compliance-related performance of employees’ and our Compliance team to report findings to senior leadership.,Mumbai,3 days ago,https://www.linkedin.com/jobs/view/4405073562/
Onboard,AI Quality Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,3 hours ago,https://www.linkedin.com/jobs/view/4407166410/
Joveo AI,Strategy Consultant (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,18 hours ago,https://www.linkedin.com/jobs/view/4407105907/
Firework,AI GTM Engineer,Not Disclosed,Not Listed,Not Listed,Mumbai,5 days ago,https://www.linkedin.com/jobs/view/4404874435/
LehLah,Associate,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4400820327/
Brookfield,Senior Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4365072176/
YES BANK,Product Manager,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4379565496/
JSW Realty,Business Strategy Manager,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4398894330/
Joveo AI,Data Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,21 hours ago,https://www.linkedin.com/jobs/view/4407115464/
Onboard,AI Agent Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,3 hours ago,https://www.linkedin.com/jobs/view/4407163435/
Gala Bus,Business Development Executive,Not Disclosed,Not Listed,Not Listed,Mumbai,1 day ago,https://www.linkedin.com/jobs/view/4402465275/
Moksha Media Group,Product Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,3 days ago,https://www.linkedin.com/jobs/view/4402899789/
mCaffeine,Business Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4397915918/
Deccan AI Experts,Research Associate (Economics) (Freelancer),Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4401029798/
Potential Engineering,Technical Sales Engineer,Not Disclosed,Not Listed,Not Listed,Mumbai,2 days ago,https://www.linkedin.com/jobs/view/4401291543/
WNS,Associate - Operations,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4402280170/
BNP Paribas,Associate,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4400219003/
EY,Analyst - TAX - FS - TAX - GCR - Global Compliance & Reporting - Mumbai,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4396357212/
Kotak Life,Brand Manager,Not Disclosed,Not Listed,"•APP enablement: responsible for driving adoption and engagement for the in – house sales app by planning various branch activities & collaterals to create awareness, make agents and employees understand the benefit & usage of the app. Will be responsible for achieving the adoption target",Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4403867491/
EY,Analyst - Business Consulting Risk - National - Internal Audit - Mumbai,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4401486224/
Marcus Evans Group,Corporate Sales Executive (Entry Level) – Europe,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4386536572/
Leica Microsystems,Market Researcher,Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4398255694/
Onboard,Applied AI Engineer (Agentic AI) - Remote,Not Disclosed,Not Listed,Not Listed,Mumbai,3 hours ago,https://www.linkedin.com/jobs/view/4407162462/
BDO India,"Senior Associate, Research & Insights",Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4373922332/
Burns & McDonnell India,Operational Finance Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,1 day ago,https://www.linkedin.com/jobs/view/4374386867/
CoinDCX,Senior Analyst - Trade,Not Disclosed,Not Listed,Not Listed,Mumbai,6 days ago,https://www.linkedin.com/jobs/view/4403917582/
Joveo AI,Fresher Data Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,21 hours ago,https://www.linkedin.com/jobs/view/4407111533/
EY,Associate Consultant - Business Consulting Risk - FS - CNS - Risk - Process & Controls - Mumbai,Not Disclosed,Not Listed,Not Listed,Mumbai,1 day ago,https://www.linkedin.com/jobs/view/4384265665/
Procter & Gamble,Associate Researcher,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4390340639/
"Apollo Global Management, Inc.","Associate, Investor Relations",Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4399179203/
Onboard,Agentic AI Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,3 hours ago,https://www.linkedin.com/jobs/view/4407172352/
Mastercard,"Associate Managing Consultant, Advisors & Consulting Services, Strategy & Transformation",Not Disclosed,Not Listed,Not Listed,Mumbai,2 weeks ago,https://www.linkedin.com/jobs/view/4398493090/
Joveo AI,Data Analyst (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,19 hours ago,https://www.linkedin.com/jobs/view/4407125648/
Emkay Global Financial Services Ltd,Business Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4387097933/
Flexiple,Business Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,4 days ago,https://www.linkedin.com/jobs/view/4404992359/
Urban Company,Business Development Associate - Field Operations,Not Disclosed,Not Listed,Not Listed,Mumbai,4 days ago,https://www.linkedin.com/jobs/view/4402432569/
Onboard,AI Platform Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,3 hours ago,https://www.linkedin.com/jobs/view/4407171345/
Shoppers Stop,Sourcing Executive-Intune-Mumbai,Not Disclosed,Not Listed,Not Listed,Mumbai,3 weeks ago,https://www.linkedin.com/jobs/view/4396947497/
Alignerr,Research Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,5 days ago,https://www.linkedin.com/jobs/view/4404951920/
Joveo AI,Fresher Data Analyst,Not Disclosed,Not Listed,Not Listed,Mumbai,19 hours ago,https://www.linkedin.com/jobs/view/4407122604/
Capgemini,Social Listening,Not Disclosed,Not Listed,Not Listed,Mumbai,4 days ago,https://www.linkedin.com/jobs/view/4404831866/
Crossing Hurdles,Research & AI Analyst | $15/hr Remote,Not Disclosed,Not Listed,Not Listed,Mumbai,1 hour ago,https://www.linkedin.com/jobs/view/4405970115/
bluCognition,Analyst - Marketing Analytics,Not Disclosed,Not Listed,Not Listed,Mumbai,1 week ago,https://www.linkedin.com/jobs/view/4404030872/
Onboard,AI Software Engineer (Remote),Not Disclosed,Not Listed,Not Listed,Mumbai,3 hours ago,https://www.linkedin.com/jobs/view/4407158548/
IDFC FIRST Bank,Associate Manager-Acquisition (Corporate Salary),Not Disclosed,Not Listed,Not Listed,Mumbai,6 days ago,https://www.linkedin.com/jobs/view/4403356381/
Sihrsalt,Business Development Specialist,Not Disclosed,Not Listed,Not Listed,Mumbai,2 days ago,https://www.linkedin.com/jobs/view/4403728036/
